setor,subsetor,site,telefones,emails
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,"Coordenação de Informática, Infocentros e Telefonia",,(32) 2102-3705,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Coordenação de Manutenção Civil e Reformas,,(32) 2102-3725,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,"Coordenação de Manutenção Elétrica, Eletrônica e Equipamentos",https://www2.ufjf.br/proinfra/coordenacao-e-gerencia-2/coordenacao-de-manutencao-civil-e-reformas,(32) 2102-3702 | (32) 2102-6363,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Coordenação de Projetos e Obras,https://www2.ufjf.br/proinfra/coordenacao-de-projetos-e-obras,,almoxarifado.central@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Coordenação de Vigilância,https://www2.ufjf.br/proinfra/coordenacao-de-vigilancia,(32) 2102-3793 | (32) 2102-3716,diseg@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Engenheiros,,(32) 2102-3798,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Engenheiros eletricistas,,(32) 2102-3715,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Equipamentos e Refrigeração,,(32) 2102-3794,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Equipe de Manutenção,,(32) 2102-3783,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Escritório de Projetos,,(32) 2102-6928,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Ferramentaria,,(32) 2102-6308,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Gerência Administrativa e Financeira,,(32) 2102-3704,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Gerência de Compras,,(32) 2102-3742,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Gerência de Paisagismo,,(32) 2102-3783,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Gerência de Transporte,https://www.ufjf.br/transporte,(32) 2102-3714,transporte@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,"Hidráulica, Obras e Pintura",,(32) 2102-3729,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Infocentros,,(32) 2102-3728,infocentro@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Licitação e Pregão,,(32) 2102-3740,logistica.cosup@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,(Localizado no Salão de leitura da Bilbioteca Central),,,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Manutenção de Informática,,(32) 2102-3995,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Oficina,,(32) 2102-3706 | (32) 2102-3728 | (32) 2102-3708,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Parques e Jardins,,(32) 2102-3783,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Portaria,,(32) 2102-3716,diseg@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Protocolo e Correios,,(32) 2102-3718,protocolo.proinfra@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Sala de Projetos,,(32) 2102-3782,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Secretaria,https://www2.ufjf.br/proinfra,(32) 2102-3713,secretaria.proinfra@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Segurança do Trabalho,,(32) 2102-3711,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Serralheria/Marcenaria,,(32) 2102-3722,
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Suporte de Informática,,(32) 2102-3370,
"PROPLAN – PRÓ-REITORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS",Centro de Difusão do Conhecimento – CDC,https://www.ufjf.br/biblioteca,(32) 2102-3761,secretaria.cdc@ufjf.br
"PROPLAN – PRÓ-REITORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS",Comissão de gerenciamento do SCDP,https://www.ufjf.br/planejamento/scdp,(32) 2102-3921,reservas.planejamento@ufjf.br
"PROPLAN – PRÓ-REITORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS",Coordenação de Execução e Suporte Financeiro – COESF,https://www2.ufjf.br/coesf,(32) 2102-3948,coesf@ufjf.br
"PROPLAN – PRÓ-REITORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS",Equipe Técnica – Secretaria,https://www.ufjf.br/planejamento,(32) 2102-3938,planejamento@ufjf.br
"PROPLAN – PRÓ-REITORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS",Responsável pelo gerenciamento das bibliotecas da UFJF,,,
"PROPLAN – PRÓ-REITORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS",Sistema de Concessão de Diárias e Passagem (SCDP),,,
"PROPLAN – PRÓ-REITORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS",Sistema eletrônico de Informações – SEI (Reitoria/Campus),https://www2.ufjf.br/sei,(32) 2102-3984,sei@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Direção,https://www2.ufjf.br/propp/,,(32) 2102-3108
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Sala de Projetos,https://www2.ufjf.br/propp/,(32 2102-3122,
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Bolsas de pós-graduação,https://www2.ufjf.br/propp/pos-graduacao/bolsas-depos-graduacao,(32) 2102-3775,bolsaspg.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Centro de Bioterismo Regional (antigo Centro de Biologia da Reprodução) – CBR,https://www2.ufjf.br/cbr,(32) 2102-3255 | (32) 2102-3251,bioterio.cbr@ufjf.br | laboratorio.cbr@ufjf.br | direcao.cbr@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Centro de Pesquisas Sociais – CPS,https://www2.ufjf.br/cps,(32) 2102-3104,cps@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Comissão de Ética no Uso de Animais (CEUA),http://www.ufjf.br/ceua,(32) 2102-3784,ceua.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Comissão de Residência Médica – COREME,https://www2.ufjf.br/huresidencias/coreme-2,(32) 4009-5167,coreme.huufjf@ebserh.gov.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Comissão de Residência Multiprofissional e em Área Profissional da Saúde – COREMU,https://www2.ufjf.br/huresidencias/coremu,(32) 4009-5167 | (32) 2102-3773,coremu@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Comissão de Residência Multiprofissional e em Área Profissional da Saúde– COREMU,https://www2.ufjf.br/huresidencias/coremu/,(32) 4009-5167 | (32) 2102-3773,geracad.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Comitê Assessor de Pesquisa,,(32) 2102-3880,cap.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Comitê Assessor de Pesquisa (CAP),https://www2.ufjf.br/propp/institucional/comitesetica/comite-assessor-ao-cspp,(32) 2102-3880,pesquisa.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Comitê de Ética em Pesquisa com Seres Humanos (CEP),https://www2.ufjf.br/comitedeetica,(32) 2102-3788,cep.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Comitê de Ética em Pesquisa com Seres Humanos (CEP),,(32) 2102-3788,cep.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Conselho Setorial de Pós-Graduação e Pesquisa (CSPP),https://www2.ufjf.br/cspp,(32) 2102-3720,cspp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Contratação de Professor Visitante,https://www2.ufjf.br/propp/professor-visitante-2025,(32) 2102-3778,visitantes.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Editora da UFJF,https://www2.ufjf.br/niassa,(32) 2102-3720,niassa@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Gerência Acadêmica: Pós-graduação lato e stricto sensu Homologação de título,https://www2.ufjf.br/propp/pos-graduacao/documentosstricto/stricto-sensu-clique-aqui/proposta-deconcessao-de-diarias-e-passagens,(32) 2102-3773 | (32) 2102-3880,geracad.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Gerência de Pesquisa Pesquisa Iniciação Científica Bolsas de IC Projetos Grupos de pesquisa e laboratórios,https://www2.ufjf.br/propp/pesquisa,(32) 2102-3784,pesquisa.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Núcleo Administrativo: SCDP Reembolsos Compras/Pagamentose doutorado,https://www2.ufjf.br/propp/pos-graduacao/documentosstricto/stricto-sensu-clique-aqui/proposta-deconcessao-de-diarias-e-passagens,(32) 2102-3785,scdp.propp@ufjf.br | adm.propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Revista Principia,https://periodicos.ufjf.br/index.php/principia,(32) 2102-3720,propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Secretaria,https://www2.ufjf.br/propp,(32) 2102-3766,propp@ufjf.br
PROPP – PRÓ-REITORIA DE PÓS-GRADUAÇÃO E PESQUISA,Semic,https://www2.ufjf.br/semic,,semic@ufjf.br
PROSDAV,Centro de Gestão do Conhecimento Organizacional – CGCO,https://www2.ufjf.br/cgco/,(32) 2102-3371,secretaria.cgco@ufjf.br
PROSDAV,Pró-Reitoria de Sistemas de Dados e Avaliação,https://www2.ufjf.br/prosdav/,(32) 2102-3981,prosdav@ufjf.br
PSICOLOGIA,Coordenação do Curso,https://www.ufjf.br/psicologia,,coord.psicologia@ufjf.br
QUÍMICA,Coordenação do Curso de Licenciatura em Química a distância,https://www2.ufjf.br/quimicaead,(32) 2102-3316,secrataria.liquimica.ead@ufjf.br
QUÍMICA,Coordenação do Curso de Licenciatura em Química Noturno,https://www2.ufjf.br/quimicanoturno,(32) 2102-3316,coord.quimicanoturno@ufjf.br
QUÍMICA,Coordenação dos cursos de Licenciatura e Bacharelado em Química Integral,https://www2.ufjf.br/ice,(32) 2102-3316,coord.quimicadiurno@ufjf.br
QUÍMICA,Departamento de Química,https://www2.ufjf.br/quimica,(32) 2102-3310,depto.quimica@ufjf.br
QUÍMICA,Programa de Pós-Graduação em Química,https://www2.ufjf.br/ppgquimica,(32) 2102-3309,ppgquimica.ice@ufjf.br
REITORIA,Escritório de Processos,https://www.ufjf.br/escritoriodeprocessos,(32) 2102-6379,escritoriodeprocessos@ufjf.br
REITORIA,Secretaria do Gabinete,,(32) 2102-3903,secretaria.reitoria@ufjf.br
REITORIA,Secretaria Geral,,(32) 2102-3904 | (32) 2102-3909,secretariageral.reitoria@ufjf.br
RESTAURANTE UNIVERSITÁRIO – RU,RU Campus,https://www.ufjf.br/ru,(32) 2102-3491 | (32) 2102-3497,ru.ufjf@gmail.com
RESTAURANTE UNIVERSITÁRIO – RU,RU Centro,,(32) 2102-3585,
SEMPRE VIVO – Programa de doação voluntária de corpos para fins de ensino e pesquisa,Departamento de Anatomia,https://www.ufjf.br/anatomia,(32) 2102-3205,depto.anatomia@ufjf.br
SERVIÇO SOCIAL,Biblioteca do Serviço Social,,,biblioteca.servicosocial@ufjf.br
SERVIÇO SOCIAL,"Casa Helenira Preta – Localizada na Av. Barão do Rio Branco, 3372 ou pela Rua Severino Meireles, 260 – Passos – Juiz de Fora",https://www.ufjf.br/facssocial/institucional/casa-helenira-preta/,(32) 2102-6310,casa.helenirarezende@ufjf.br
SERVIÇO SOCIAL,Coordenação de estágio,,(32) 2102-3564,coe.fss@ufjf.br
SERVIÇO SOCIAL,Coordenação do Curso da Graduação,,(32) 2102-3563,coord.ssocial@ufjf.br
SERVIÇO SOCIAL,Direção,,(32) 2102-3560,direcao.ssocial@ufjf.br
SERVIÇO SOCIAL,PPGSS,,(32) 2102-3569,ppg.ssocial@ufjf.br
SERVIÇO SOCIAL,Secretaria,https://www.ufjf.br/facssocial,(32) 2102-3561,secretaria.ssocial@ufjf.br
SINTUFEJUF – Sindicato dos trabalhadores técnico-administrativos em educação das instituições federais de ensino no município de Juiz de Fora,"Sede administrativa: Rua Santo Antônio, 309 – Centro (ao lado do Restaurante Universitário)",https://www.sintufejuf.org.br,(32) 3215-7979,comunicacao@sintufejuf.org.br
TURISMO,Turismo,www.ufjf.br/turismo,(32) 2102-3119,coordenacaoturufjf@gmail.com
VALADARES – GV,Almoxarifado,,,
VALADARES – GV,Almoxarifado e Patrimônio,,,patrimonio.gv@ufjf.br
VALADARES – GV,Arquivo,,,arquivo.gv@ufjf.br
VALADARES – GV,Assistência Estudantil,,,atendimentosocial.gv@ufjf.br | psicologia.gv@ufjf.br
VALADARES – GV,Associação Brasileira de Odontologia (ABO),,,
VALADARES – GV,Biblioteca Centro,,,
VALADARES – GV,Biblioteca do Campus Avançado Governador Valadares,,(33) 3301-1011,biblioteca.sociais.gv@ufjf.br | biblioteca.saude.gv@ufjf.br
VALADARES – GV,Biblioteca Vila Bretas,,,
VALADARES – GV,Central de Atendimento,,(33) 3301-1002,caad.gv@ufjf.br
VALADARES – GV,Clínica Escola de Fisioterapia,,,
VALADARES – GV,"Comunicação, Cultura e Eventos",,(33) 3301-1015,comunicacao.gv@ufjf.br
VALADARES – GV,Contratos,,,contratos.gv@ufjf.br
VALADARES – GV,Coordenação Acadêmica,,,
VALADARES – GV,COORDENAÇÃO ADMINISTRATIVA,,,
VALADARES – GV,COORDENAÇÃO DE GESTÃO DE PESSOAS,,,
VALADARES – GV,Coordenação de Recursos Humanos,,(33) 3301-1003,
VALADARES – GV,Coordenações dos cursos,,,
VALADARES – GV,Direção,,,
VALADARES – GV,Direção do ICSA,,(33) 3301-1007,
VALADARES – GV,Direção do ICV,,(33) 3301-1006,
VALADARES – GV,Direção Geral,,(33) 3301-1005,
VALADARES – GV,DIRETORIA DO INSTITUTO DE CIÊNCIAS DA VIDA,,,
VALADARES – GV,DIRETORIA DO INSTITUTO DE CIÊNCIAS SOCIAIS APLICADAS,,,
VALADARES – GV,Diretoria geral,,,
VALADARES – GV,Estágios,,,estagios.gv@ufjf.br
VALADARES – GV,Extensão,,,extensao.gv@ufjf.br
VALADARES – GV,Farmácia Universitária,,,
VALADARES – GV,Financeiro,,,financeiro.gv@ufjf.br
VALADARES – GV,Geral,https://www.ufjf.br/campusgv,(33) 3301-1000,
VALADARES – GV,Gerência Administrativa,,,administrativo.gv@ufjf.br
VALADARES – GV,Gerência de Graduação,,,gerencia.graduacao.gv@ufjf.br
VALADARES – GV,Gerência de Infraestrutura,,,
VALADARES – GV,GERÊNCIA DE INFRAESTRUTURA E TECNOLOGIA DA INFORMAÇÃO,,,
VALADARES – GV,Graduação,,,graduacao.gv@ufjf.br
VALADARES – GV,"Inovação, Empreendedorismo e Transferência de Tecnologia",,,inovacao.gv@ufjf.br
VALADARES – GV,Laboratório Multi Química,,,
VALADARES – GV,Laboratório Parasitologia,,,
VALADARES – GV,LISTA DE NÚMEROS EXTERNOS,,,
VALADARES – GV,"LISTA DE RAMAIS INTERNOS – Para falar com algum dos setores abaixo, basta ligar para o número (33) 3301-1000 e informar o ramal desejado.",,,
VALADARES – GV,Manutenção e Projetos,,,
VALADARES – GV,Núcleo Administrativo / Pitágoras,,,
VALADARES – GV,Núcleo Administrativo / Unipac,,,
VALADARES – GV,Núcleo de Prática Jurídica / Escritório Escola de Direito,,(33) 3301-1009,
VALADARES – GV,Núcleo de Tecnologia da Informação,,,ti.gv@ufjf.br
VALADARES – GV,Núcleo de TI,,(33) 3301-1010,
VALADARES – GV,Perícias Médicas,,,
VALADARES – GV,Pós-Graduação e Pesquisa,,,pesquisa.gv@ufjf.br
VALADARES – GV,Promoção à Saúde,,,
VALADARES – GV,Protocolo,,,protocolo.gv@ufjf.br
VALADARES – GV,Recepção,,,caad.gv@ufjf.br
VALADARES – GV,Restaurante Universitário,,,ru.gv@ufjf.br
VALADARES – GV,Sala dos professores,,,
VALADARES – GV,Secretaria da Direção,,,secretaria.educacaofisica.gv@ufjf.br | secretaria.sociais.gv@ufjf.br
VALADARES – GV,Secretaria da Diretoria-Geral,,,secretaria.diretoria.gv@ufjf.br
VALADARES – GV,Secretaria de Gestão de Pessoa,,,cgp.gv@ufjf.br
VALADARES – GV,Secretaria do curso de Educação Física,,,secretaria.educacaofisica.gv@ufjf.br
VALADARES – GV,Secretaria do curso de Farmácia,,,secretaria.farmacia.gv@ufjf.br
VALADARES – GV,Secretaria do curso de Fisioterapia,,,secretaria.fisioterapia.gv@ufjf.br
VALADARES – GV,Secretaria do curso de Medicina,,,secretaria.medicina.gv@ufjf.br
VALADARES – GV,Secretaria do curso de Nutrição,,,secretaria.nutricao.gv@ufjf.br
VALADARES – GV,Secretaria do curso de Odontologia,,,secretaria.odontologia.gv@ufjf.br
VALADARES – GV,Secretaria do Departamento Básico de Ciências da Vida,,,
VALADARES – GV,Secretaria dos cursos,,,secretaria.sociais.gv@ufjf.br
VALADARES – GV,Secretaria Unificada Pós-graduação ICV,,,
VALADARES – GV,SERVIÇOS,,,
VALADARES – GV,SIAPE@FONE,,(33) 3301-1001,
VALADARES – GV,Transportes,,,transporte.gv@ufjf.br
